ConditionA,ConditionB,OddsRatio,PValue,OddsRatio_CI_Low,OddsRatio_CI_High,PairFrequency,Direction,Significance,Interpretation,AdjustedPValue,FDRSignificance,DirectionalFrequency,Precedence,DirectionalPercentage,Percentage,MedianDurationDays,MedianDurationYears,MedianDurationYearsWithIQR,ConditionA_Count,ConditionB_Count,TotalPatientsInGroup
Chronic Pneumonia,Dysphagia,14.0212644641959,1.1008908216283199e-55,10.5417435946904,18.6492732828317,88,Positive,Significant,Significant after FDR correction,0,True,64,Chronic Pneumonia Precedes Dysphagia,72.7272727272727,1.06075216972035,1480.0,4.05201916495551,4.05 [1.10-9.67],222,533,8296
Diabetes,Hypertension,8.51451337507114,1.1797062574601e-71,6.91527756339998,10.4835904776932,160,Positive,Significant,Significant after FDR correction,0,True,83,Diabetes Precedes Hypertension,51.875,1.92864030858245,1341.5,3.67282683093771,3.67 [0.89-7.61],503,662,8296
Cerebral Palsy,Stroke,7.87140233943046,2.7630395347356398e-36,5.86669346820574,10.56114063654,86,Positive,Significant,Significant after FDR correction,0,True,31,Cerebral Palsy Precedes Stroke,36.046511627907,1.03664416586307,155.5,0.425735797399042,0.43 [0.00-11.80],1043,189,8296
Cerebral Palsy,Chronic Pneumonia,6.96224644362487,2.0195633580217698e-36,5.29094805158401,9.16147258850052,94,Positive,Significant,Significant after FDR correction,0,True,72,Cerebral Palsy Precedes Chronic Pneumonia,76.5957446808511,1.13307618129219,3236.5,8.86105407255305,8.86 [2.97-17.93],1043,222,8296
Chronic Kidney Disease,Hypertension,6.4448683370005,8.531286475543699e-31,4.89073538641455,8.49285937584169,78,Positive,Significant,Significant after FDR correction,0,True,45,Hypertension Precedes Chronic Kidney Disease,57.6923076923077,0.940212150433944,1058.5,2.89801505817933,2.90 [0.11-6.79],271,662,8296
Cerebral Palsy,Dysphagia,6.26391516071231,9.54793523885446e-68,5.18496467394354,7.56738678235955,200,Positive,Significant,Significant after FDR correction,0,True,176,Cerebral Palsy Precedes Dysphagia,88.0,2.41080038572806,6100.0,16.7008898015058,16.70 [5.68-24.57],1043,533,8296
Chronic Constipation,Dysphagia,5.72219899665552,8.23688970405421e-27,4.34221768762246,7.54074616080657,73,Positive,Significant,Significant after FDR correction,0,True,65,Chronic Constipation Precedes Dysphagia,89.041095890411,0.879942140790743,3095.0,8.47364818617385,8.47 [5.16-15.07],333,533,8296
Anaemia,Dysphagia,4.9864880651065,1.73581547589763e-34,3.97220836061359,6.25975804038855,112,Positive,Significant,Significant after FDR correction,0,True,49,Anaemia Precedes Dysphagia,43.75,1.35004821600771,1073.0,2.93771389459274,2.94 [0.00-8.67],600,533,8296
Cerebral Palsy,Chronic Constipation,4.77628755364807,1.5282967002825302e-31,3.76610121304733,6.05743752082395,111,Positive,Significant,Significant after FDR correction,0,True,77,Cerebral Palsy Precedes Chronic Constipation,69.3693693693694,1.33799421407907,3331.0,9.11978097193703,9.12 [3.12-17.47],1043,333,8296
Dysphagia,Reflux Disorders,4.4677676748933,3.25228171647354e-51,3.72177355751947,5.36328921905859,216,Positive,Significant,Significant after FDR correction,0,True,121,Reflux Disorders Precedes Dysphagia,56.0185185185185,2.60366441658631,1297.5,3.5523613963039,3.55 [0.48-9.50],533,1491,8296
Cerebral Palsy,Visual Impairment,4.44292063492064,9.57419628509253e-43,3.65735817584257,5.39721373164553,168,Positive,Significant,Significant after FDR correction,0,True,117,Cerebral Palsy Precedes Visual Impairment,69.6428571428571,2.02507232401157,3817.5,10.4517453798768,10.45 [2.36-18.22],1043,546,8296
Cerebral Palsy,Epilepsy,4.26934218117108,4.92477051673114e-104,3.74103454983705,4.87225723716466,614,Positive,Significant,Significant after FDR correction,0,True,271,Cerebral Palsy Precedes Epilepsy,44.1368078175896,7.40115718418515,2436.0,6.6694045174538,6.67 [1.26-17.90],1043,2905,8296
Chronic Pneumonia,Epilepsy,4.09883510964415,1.33463426634793e-24,3.11783807996734,5.38849318827602,136,Positive,Significant,Significant after FDR correction,0,True,99,Epilepsy Precedes Chronic Pneumonia,72.7941176470588,1.63934426229508,4668.5,12.7816563997262,12.78 [3.51-22.10],222,2905,8296
Anaemia,Inflammatory Bowel Disease,4.04242213828647,2.4779796317721103e-19,3.08850500616397,5.29096657168929,73,Positive,Significant,Significant after FDR correction,0,True,44,Inflammatory Bowel Disease Precedes Anaemia,60.2739726027397,0.879942140790743,1054.0,2.88569472963723,2.89 [0.49-8.18],600,390,8296
Chronic Pneumonia,Reflux Disorders,3.8440757797781,4.66550969004564e-19,2.91734646586493,5.06519152715569,86,Positive,Significant,Significant after FDR correction,0,True,44,Chronic Pneumonia Precedes Reflux Disorders,51.1627906976744,1.03664416586307,2099.5,5.74811772758385,5.75 [1.72-10.33],222,1491,8296
Chronic Diarrhoea,Reflux Disorders,3.78938053097345,7.774191144696809e-16,2.80140103342126,5.12579407132722,71,Positive,Significant,Significant after FDR correction,0,True,37,Reflux Disorders Precedes Chronic Diarrhoea,52.112676056338,0.855834136933462,1211.0,3.31553730321697,3.32 [1.47-8.93],184,1491,8296
Dysphagia,Visual Impairment,3.77571079950418,1.81580955098851e-20,2.94040930739891,4.84830190328278,85,Positive,Significant,Significant after FDR correction,0,True,61,Visual Impairment Precedes Dysphagia,71.7647058823529,1.02459016393443,2725.0,7.46064339493498,7.46 [1.66-14.99],533,546,8296
Inflammatory Bowel Disease,Reflux Disorders,3.13070065864183,1.15106030986721e-21,2.51797901040291,3.89252117413484,131,Positive,Significant,Significant after FDR correction,0,True,70,Reflux Disorders Precedes Inflammatory Bowel Disease,53.4351145038168,1.57907425265188,1403.0,3.84120465434634,3.84 [1.41-9.54],390,1491,8296
Anaemia,Reflux Disorders,3.12566493186726,4.07997775132993e-31,2.61030443996453,3.74277464219365,197,Positive,Significant,Significant after FDR correction,0,True,84,Reflux Disorders Precedes Anaemia,42.6395939086294,2.37463837994214,1561.0,4.27378507871321,4.27 [0.41-11.05],600,1491,8296
Chronic Pain Conditions,Reflux Disorders,2.9871143139117,3.88940468269931e-18,2.37100480953343,3.76332088762487,114,Positive,Significant,Significant after FDR correction,0,True,74,Chronic Pain Conditions Precedes Reflux Disorders,64.9122807017544,1.374156219865,1361.5,3.72758384668036,3.73 [1.64-8.26],348,1491,8296
Chronic Constipation,Reflux Disorders,2.93344902386117,9.51624510598644e-17,2.31590682232388,3.71566035932193,108,Positive,Significant,Significant after FDR correction,0,True,67,Chronic Constipation Precedes Reflux Disorders,62.037037037037,1.30183220829315,1617.0,4.42710472279261,4.43 [1.69-10.15],333,1491,8296
Chronic Constipation,Insomnia,2.75080405739733,9.59639392923505e-12,2.1088339902742,3.58820229429711,75,Positive,Significant,Significant after FDR correction,0,True,46,Chronic Constipation Precedes Insomnia,61.3333333333333,0.904050144648023,1387.0,3.79739904175222,3.80 [0.99-9.87],333,1015,8296
Cardiac Arrhythmias,Reflux Disorders,2.56923497346355,1.30388791859319e-13,2.03311488861659,3.24672667827433,106,Positive,Significant,Significant after FDR correction,0,True,70,Reflux Disorders Precedes Cardiac Arrhythmias,66.0377358490566,1.27772420443587,1635.5,4.47775496235455,4.48 [1.02-10.47],357,1491,8296
Chronic Constipation,Epilepsy,2.5115353313372,5.72406632733751e-16,2.01694475596181,3.12740827526883,164,Positive,Significant,Significant after FDR correction,0,True,124,Epilepsy Precedes Chronic Constipation,75.609756097561,1.97685631629701,4588.0,12.5612594113621,12.56 [5.62-19.69],333,2905,8296
Dysphagia,Epilepsy,2.41777521379123,4.48817266484195e-22,2.02812994482019,2.88227931319336,255,Positive,Significant,Significant after FDR correction,0,True,224,Epilepsy Precedes Dysphagia,87.843137254902,3.07377049180328,5854.0,16.0273785078713,16.03 [6.85-22.81],533,2905,8296
